# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	9830273F	Pencet ~m~~widget_nitro~ buat mengaktifkan nitro.
STE2_01	C4F8211D	~s~Pergi terus ambil mobil-mobil dari ~y~ruang pameran mobil (showroom)~s~.
STE2_02	5DF170A7	~s~Tempel terus ~b~Cesar~s~ pas lu balik ke bengkel garasi.
STE2_03	2AF64031	Ketuk ~m~~widget_nitro~ buat mengaktifkan nitro.
STE2_04	B492D592	~s~Ikutin ~b~Cesar~s~ ke dalam gang sempit.
STE2_05	C395E504	~s~Nyetir balik ke ~y~bengkel garasi~s~.
STE2_06	5A9CB4BE	~r~Lu kehilangan jejak Cesar!
STE2_07	2D9B8428	~r~Cesar tewas.
STE2_08	BD2499B9	~r~Mobil target hancur.
STE2_09	CA23A92F	~r~Polisi berhasil menyita salah satu mobil!
STE2_10	AAE420CA	~s~Lu ninggalin ~b~Cesar~s~ di belakang.
STE2_11	DDE3105C	~s~Masuk balik ke dalam ~b~mobil~s~!
STL2@00	A99597B7	Woy Carl, ada dua mobil di dalam daftar nih, bro (*ese*),
STL2@01	DE92A721	sama mobilnya ada di ruang pameran (*showroom*) di seberang kota,
STL2@02	479BF69B	ayo kita pergi ambil mobil-mobil itu!
STL2@03	309CC60D	Gue selalu kagum sama pendekatan blak-blakan lu, bro (*hombre*).
STL2_AA	AFC97AE7	Oke, ayo kita pergi ambil mobil-mobil itu!
STL2_BA	84E42924	Gue demen sama tempat ini, lu tahu kagak.
STL2_BB	1DED789E	Di mana?
STL2_BC	6AEA4808	San Fierro, bro.
STL2_BD	F48EDDAB	Rumah gue bakal selalu ada di Varrios sama El Corona,
STL2_BE	8389ED3D	tapi kota ini, punya sesuatu yang terasa ramah gitu.
STL2_BF	1A80BC87	Yoi, gue paham maksud lu.
STL2_BG	6D878C11	Kendl kayaknya demen juga sama kota ini, lu tahu kan?
STL2_BH	FD389180	Oh yoi, dia bener-bener lagi fokus mendalami urusan bisnis ini.
STL2_BJ	1336F0AC	Baguslah kalo gitu, dia kan emang selalu jadi otak di keluarga kita.
STL2_BK	6431C03A	Dia emang harus keluar dari area kumuh (*ghetto*) terus meraih kesuksesan.
STL2_BL	FA555599	Gue rasa dia berambisi buat membimbing KITA SEMUA jadi sukses, hah!
STL2_BM	8D52650F	Yoi, dia udah kek sosok ibu di keluarga kita sekarang...
STL2_CA	9DFF1865	Woy, siapa sih si 'Truth' ini, bro (*holmes*)? Gue rasa otaknya agak geser tuh!
STL2_CB	04F649DF	Dia cuma ngeliat segala hal dari sudut pandang beda aja, gitu doang kok.
STL2_CC	73F17949	Awalnya gue kira dia cuma orang gila korban kebanyakan minum asam LSD.
STL2_CD	ED95ECEA	Tapi beberapa hal yang dia omongin...
STL2_CE	9A92DC7C	Gue kagak tahu lah, bro, kagak semuanya omong kosong....
STL2_CF	039B8DC6	Woy, lu mau jadi pemburu alien juga, bro (*holmes*)?
STL2_CG	749CBD50	Gue tunda dulu dah kalo buat yang satu itu.
