# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



ALEV	8B95249E	LEVEL
AMBSEAT	3B974819	KURSI KOSONG
AMBTIME	695FE63A	SISA WAKTU
A_SAVES	36718721	ORANG DISELAMATKAN: ~1~
ALEVEL	21A57E2B	Misi Paramedis Level ~1~
ATUTOR2	98F06848	~s~Bawa para ~b~pasien~s~ ke ~y~Rumah Sakit~s~ dengan HATI-HATI. Setiap tabrakan akan mengurangi peluang hidup mereka.
A_FULL	C7D43987	~s~Ambulans penuh!!
A_PASS	E9DB3903	Terselamatkan!
A_FAIL1	FB75C0A3	Misi paramedis berakhir
A_FAIL2	627C9119	~r~Kelambatan kamu berakibat fatal bagi pasien!
A_FAIL3	157BA18F	~r~Pasien sudah tewas!!
A_CANC	49ACBD0A	~r~Misi paramedis dibatalkan!
A_COMP1	3234CD61	Misi paramedis selesai: $~1~
A_COMP2	AB3D9CDB	Kamu tidak akan pernah kelelahan!
A_COMP3	DC3AAC4D	~s~Darah maksimal kamu telah meningkat!
