# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



FIN2_AA	5FA78BAB	Gue harus memperingatkan Sweet!
FIN2_AB	C6AEDA11	(Suara nada panggil)
FIN2_AC	B1A9EA87	Bangsat, Sweet, angkat! Angkat!
FIN2_AD	2FCD7F24	(Suara nada panggil)
FIN2_AE	58CA4FB2	Halo, ada apaan? Lu nelpon gue tapi gue lagi kagak bisa ngangkat, jadi tinggalkan pesan abis suara...
FIN2_AF	C1C31E08	Taik! Taik! Taik!
FIN2_BA	748AD868	Woy, Sweet bro, lu aman? Lu kena tembak!
FIN2_BB	ED8389D2	CJ... Dari mana aja lu?
FIN2_BC	9A84B944	Cesar nelpon, melaporin sesuatu ke gue.
FIN2_BD	04E02CE7	Itu si Smoke, dan dia main belakang bareng Tenpenny sama anak-anak Ballas!
FIN2_BE	73E71C71	Dia udah ngejual/mengkhianati kita!
FIN2_BF	EAEE4DCB	Kagak penting lagi bro - lu harus cabut dari sini. Polisi bakal mendarat sebentar lagi.
FIN2_BG	9DE97D5D	Kagak bakal bro, gue kagak bakal kabur ninggalin abang gue!
FIN2_BH	0D5660CC	Woy, Ballas! Gue bantai kalian semua keparat, denger kagak lu?
FIN2_BJ	E35801E0	GUE BANTAI KALIAN SEMUA, LONTE!
FIN2_CA	6D91E929	Kan udah gue bilang seret pantat lu cabut dari sini, CJ...
FIN2_CB	F498B893	Gue kagak mau kehilangan abang gue lagi...
FIN2_CC	839F8805	Bro, gue salah, Carl. Lu bukan pecundang (*buster*).
FIN2_CD	1DFB1DA6	Jangan bergerak sedikit pun bangsat!
FIN2A00	58390CCC	Jadi ini saatnya - ini waktunya kita tunjukin ke anak-anak Ballas apa arti gengster sejati.
FIN2A01	2F3E3C5A	Grove Street itu raja! Ngomong bareng gue bro, Grove Street itu RAJA! Yoi!
FIN2A02	B6376DE0	Ada apaan, CJ. Dari mana aja lu?
FIN2A03	C1305D76	Woy sori, bro, gue tadi ada urusan mendesak.
FIN2A04	5F54C8D5	Yoi, lu palingan lagi mbejek salah satu tikus Ballas itu. Yoi gue tahu apa yang lagi lu kerjain, bro!
FIN2A05	2853F843	Dengerin semuanya - kalian semua setuju bareng CJ, kan?
FIN2A06	B15AA9F9	Dia udah ngelewatin banyak hal, maksud gue kita semua udah ngelewatin banyak hal.
FIN2A07	C65D996F	Tapi CJ udah ngebantu kita membersihkan lingkungan (*hood*). Dia membawa pertempuran ke musuh -
FIN2A08	56E284FE	nunjukkan ke kita semua gimana cara kita bertarung dulu,
FIN2A09	21E5B468	apa artinya dulu menjadi anggota Grove Street Family.
FIN2A10	41223D8D	CJ, lu abang gue, kawan sejati gue (*running dog*).
FIN2A11	36250D1B	Harusnya gue kagak pernah meragukan lu.
FIN2A12	AF2C5CA1	Tapi lu udah di rumah sekarang, kawan - di rumah.
