# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



WOO1@00	61DE94C2	Kita tutup! Pokgai!
WOO1@01	16D9A454	Santai, bro, aku ke sini mau nemuin Woozie.
WOO1@02	8FD0F5EE	Oh. Di lantai atas.
WOO1@03	F8D7C578	Aku Johnson. Aku ke sini mau ketemu Woozie, aku kerja bareng dia.
WOO1@04	66B350DB	Kamu tahu soal kutukan bos?
WOO1@05	11B4604D	Kutukan? Ogah.
WOO1@06	88BD31F7	Dia buta.
WOO1@07	FFBA0161	Buta? Tapi kita baru aja balapan mobil minggu lalu!
WOO1@08	6F051CF0	Ya, aku tahu. Dia diberkahi keberuntungan luar biasa yang nggak masuk akal.
WOO1@09	18022C66	Dan Triad bakal ngelakuin apa aja buat dia.
WOO1@10	78C5A583	Kita manggil dia si Pembawa Hoki (*Lucky Mole*).
WOO1@11	0FC29515	Baiklah. Bakal kuingat itu.
WOO1@12	96CBC4AF	Bagus.
WOO1@13	E1CCF439	Woozie!
WOO1@14	7FA8619A	Halo, Carl.
WOO1@15	08AF510C	Woy, ada apa nih Woozie — tau sendiri, gimana kabarmu?
WOO1@16	91A600B6	Langsung ke intinya aja;
WOO1@17	E6A13020	Aku nggak bisa nerima bantuanmu kecuali kalau aku terbuka sama kamu
WOO1@18	761E2DB1	tentang siapa aku dan apa yang kulakuin.
WOO1@19	01191D27	Biar aku perkenalkan diri lagi...
WOO1@20	53E8F640	Aku adalah bos dari Mountain Cloud Boys.
WOO1@21	24EFC6D6	Senang berkenalan denganmu.
WOO1@22	BDE6976C	Sama-sama. Kenapa kamu nggak duduk dulu.
WOO1@23	CAE1A7FA	Sebagai Dai Dai Lo dari Triad, sudah jadi tanggung jawabku buat mastikan
WOO1@24	54853259	perselisihan diselesaikan tanpa... merusak bisnis penting.
WOO1@25	238202CF	Di mana posisiku dalam hal ini?
WOO1@26	BA8B5375	Nanti kita lihat.
WOO1@27	CD8C63E3	Aku mau mendatangi markas kelompok Triad lokal
WOO1@28	5D337E72	yang mangkir nggak dateng di pertemuan Tong terakhir.
WOO1@29	2A344EE4	Ikut aku, dan kamu bakal lihat bagaimana kita orang Triad menyelesaikan masalah
WOO1@30	4AF3C701	tanpa harus memakai... kekerasan yang nggak perlu.
WOO1@31	3DF4F797	Baiklah, aku bakal ikut naik mobilmu.
WOO1@32	A4FDA62D	Sialan tolol...
WOO1@33	D3FA96BB	Ya, lewat sini.
WUZ1_AA	6DCF409D	Kita butuh tumpangan, mobilku lagi dibenerin body-nya.
WUZ1_AB	F4C61127	Baiklah, nggak usah panik.
WUZ1_BA	46E2135E	Cepatlah, Woozie. Ada apa sih?
WUZ1_BB	DFEB42E4	Ya, err, aku cuma lagi ngira-ngira arah.
WUZ1_CA	5FF9221F	Triad Blood Feather punya tempat penyimpanan di sekitar blok ini.
WUZ1_CB	C6F073A5	Kita bakal lihat alasan apa yang bakal mereka kasih.
WUZ1_CC	B1F74333	Oke. Jadi apa maksud obrolan bisnis ini?
WUZ1_CD	2F93D690	Beberapa geng Vietnam kelas teri bikin masalah belakangan ini.
WUZ1_CE	5894E606	Kita nggak yakin kenapa mereka mendadak berani sekarang, tapi aku ngerasa cemas sama situasi ini.
WUZ1_CG	B69A872A	Terus di mana posisi aku dalam semua urusan ini?
WUZ1_CH	26259ABB	Kamu orang luar.
WUZ1_DA	10B8B4D8	Ini tempatnya!
WUZ1_DB	89B1E562	Bau apa ini?
WUZ1_DC	FEB6D5F4	Binatu (*Laundry*).
WUZ1_DD	60D24057	Ayo, lewat sini.
WUZ1_EA	09A38599	Woy, ke mana perginya orang-orang ini?
WUZ1_EB	90AAD423	Mau pada ke mana mereka?
WUZ1_EC	E7ADE4B5	Ada yang nggak beres di sini. Kita harus hati-hati...
WUZ1_EE	0ECE4180	Ikuti aku.
WUZ1_FA	228ED65A	Ada yang nggak beres.
