# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	90381B24	Pencet ~m~~widget_horn~ buat menaikkan dan menurunkan hidrolik kendaraan.
LOWR_AA	7B583508	Kagak bro, lu butuh pegas yang BNERAN bukan barang standar kek gini.
LOWR_AB	E25164B2	Bro, mobil lu kudu diatur biar bisa melompat, kawan!
LOWR_AD	0B32C187	Lu lagi halu ya, bro (*ese*)? Gimana cara lu mau ikut bersaing tanpa mobil ceper (*ride*)?
LOWR_AE	7C35F111	Bro, lu harus punya mobil lowrider buat bisa melompat-lompat!
LOWR_AG	923B903D	Lu kagak bisa ikutan kontes curacha itu, cari mobil lowrider sana!
LOWR_AH	02848DAC	Ini kontes buat mobil keren (*firme rides*), bro (*ese*), bukan buat mobil rongsokan jadul!
LOWR_AK	9B8DDC16	Uang tunai lu kagak cukup buat main, bro (*ese*).
LOWR_AL	05E949B5	Lu harus naruh taruhan uang tunai yang beneran, kawan!
LOWR_BD	201F9244	Kawan gue (*ese*) bakal ngetes apakah lu cukup layak, hah!
LOWR_CA	496E578A	Gue pernah liat yang lebih parah, tapi penampilan lu lumayan kok.
LOWR_CB	D0670630	Lu lumayan jago buat ukuran pemula, hah!
LOWR_DA	062FC14D	Mungkin kontes lompat mobil ini cuma buat anak-anak latino (*eses*) doang.
LOWR_DB	9F2690F7	Woy kawan, mungkin sebaiknya lu beralih main golf atau semacamnya aja dah.
LOWR_EA	1F34F00C	Lompatannya tinggi dan mantap banget tuh, hah?
LOWR_EB	863DA1B6	Sial, liat tuh mobil anak Grove melompat-lompat!
LOWR_EC	F13A9120	Sialan, kawan, tuh anak bego jago banget melompatkan mobilnya!
LOWR_ED	6F5E0483	Woy, kawan, lu melompat-lompat udah kayak jagoan profesional!
LOWR_EE	18593415	Sialan, kawan, dia bakal bikin mobilnya hancur berantakan karena getaran!
LOWR_EF	815065AF	Sialan, bro, dia bikin kita semua keliatan payah!
LOWR_FA	3419A3CF	Ayolah bro (*Dog*), ibu ku aja bisa melompat lebih bagus dari itu!
LOWR_FB	AD10F275	Woy kawan, mending lu fokus ngecat grafiti aja deh!
LOWR_FC	DA17C2E3	Ah, pengkhianat sialan!
LOWR_FD	44735740	Woy, anak bego ini emang kagak punya bakat yang dibutuhin.
LOWR_FE	337467D6	Lu masih keliatan payah di depan anak-anak blok lu sendiri.
LOWR_FF	AA7D366C	Bro, kawan, lu mulai kehilangan kendali!
LOWR_GA	2D02928E	Kerja bagus, hah. Kita biasanya nongkrong di sini antara jam 8 sampai 10 malam,
LOWR_GB	B40BC334	kalau lu punya mobil lowrider gaul sama uang saku buat dihamburkan, ya dateng aja kesini.
LOWR_HA	AA9A8E41	Lagi nyari sesuatu, bro (*ese*)?
LOWR_HB	3393DFFB	Woy mobilnya keren, lagi nyari ajang kompetisi ya?
LOWR_HC	4494EF6D	Woy kawan, kalau lu mau, gue bisa nunjukin tempat lombanya di mana.
LOWR_HD	DAF07ACE	Ikutin gue.
LOWR_KA	81B7DD82	Jadi, lu pasti adiknya Sweet, hah?
LOWR_KB	18BE8C38	Dia udah telpon duluan tadi, bilang kalau lu lagi nyari mobil yang bisa melompat-lompat.
LOWR_KC	6FB9BCAE	Yah, gue punya utang budi besar sama dia dari jaman dulu, jadi nih, barang ini bakal pas buat lu.
LOWR_KD	F1DD290D	Pegas custom ini bakal bikin mobil lu melompat-lompat sampai rumah! Coba rasakan sendiri.
LOWR_KE	86DA199B	Sangat populer di kalangan anak-anak Latino (*eses*) - mereka sering ngadain kompetisi pake mobil ini.
LOWR_KF	1FD34821	Lu biasanya bisa nemuin mereka di sekitar Stasiun Unity.
LOWR_KG	68D478B7	Kalau kapan-kapan lu mau modifikasi mobil lu, dateng lagi aja kapan pun, bro.
S6_01	7A5645C0	~s~Pergi ke garasi bengkel di ~y~Willowfield~s~.
S6_03	945824EC	~s~Pergi ke ~y~pertemuan perkumpulan lowrider~s~.
S6_04	0A3CB14F	~r~Pertemuan dibubarkan karena lu menyerang salah satu anggota geng.
S6_05	7D3B81D9	~s~Lu butuh mobil dengan suspensi hidrolik buat ikutan kompetisi.
S6_15	6420B098	Gunakan Kontrol Khusus buat mengaktifkan hidrolik mobil.
S6_16	FD29E122	~s~Pergi ke ~y~garasi bengkel~s~ buat mengganti warna cat mobil.
