# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



DES4@00	04BDBB46	Luar biasa asli!
DES4@01	73BA8BD0	Ada apa lagi sekarang, Toreno?
DES4@02	EAB3DA6A	Sejarah ini. Semuanya omong kosong.
DES4@03	9DB4EAFC	Di sini tertulis Hitler bunuh diri terus kita ngebom nuklir Jepang.
DES4@04	03D07F5F	Dan orang-orang pada percaya sama omong kosong ini. Ya Tuhan.
DES4@05	74D74FC9	Ya, kalo itu bikin mereka tidur lebih nyenyak di malam hari sih, kayaknya oke aja.
DES4@06	EDDE1E73	Woy bro, lu mau apaan sih?
DES4@07	9AD92EE5	Lu bakal mbebasin abang gue kagak?
DES4@08	0A663374	Kagak. Kagak sekarang.
DES4@09	7D6103E2	Nih sekadar info mengejutkan - gue ngomong gitu cuma buat memancing lu biar mau nurutin perintah gue.
DES4@10	1DA68A07	Tapi kagetnya, kita tetep bakal ngejagain dia kok.
DES4@11	6AA1BA91	Soalnya gue butuh dia tetep hidup sama besarnya kek lu.
DES4@12	F3A8EB2B	Oh, makasih banyak ya.
DES4@13	84AFDBBD	Lu tau kagak, abis apa yang lu lakuin buat gue, lu tuh udah kek profesional sekarang.
DES4@14	1ACB4E1E	Gue punya agen ganda di Panama yang pengen ngasih imbalan buat kepala lu.
DES4@15	6DCC7E88	Mata-mata Rusia - bentukannya pendek, gendut, mirip Boris - dia minta izin buat menginterogasi lu,
DES4@16	F4C52F32	pake gaya Rusia. Pake jangka sorong/penjepit di alat kelamin lu. Rasanya nikmat, lu pasti demen.
DES4@17	83C21FA4	Kagak ada keren-kerennya sama sekali bangsat! Mending lu jauhin gue.
DES4@18	137D0235	- Lu tuh cuma bawa masalah!~n~- Kagak usah khawatir soal itu.
DES4@19	647A32A3	Kagak usah khawatir soal itu.
DES4@20	368BD9C4	Orang Rusia punya hal yang lebih penting buat dipikirin daripada alat kelamin lu, percaya sama gue.
DES4@21	418CE952	Seluruh negara itu udah hancur berantakan.
DES4@22	D885B8E8	Kita udah berusaha keras buat nutupin hal itu, tapi si bego Gorbachev, yang ada tanda lahir stroberi di jidatnya itu, dia malah ngebocorin rahasia terbesarnya.
DES4@23	AF82887E	Tapi tetep aja, mereka punya, lu tau lah, anak emas mereka di Gedung Putih. Itu bagus sih...
DES4@24	31E61DDD	Terus? Lu mau gue ngapain nih?
DES4@25	46E12D4B	Dengerin, gue butuh lu buat beli beberapa properti, oke.
DES4@26	DFE87CF1	Harusnya harganya kagak mahal-mahal amat. Lu tawar aja satu dolar ke mereka.
DES4@27	A8EF4C67	Kalo mereka bikin susah lu, bantai aja mereka.
DES4@28	385051F6	Sebentar lagi gue bakal butuh lu buat ngelakuin pekerjaan kotor yang berdarah-darah buat gue, oke?
DES4@29	4F576160	Udah cukup main-main kek anak ceweknya. Sekarang cabut lu dari sini.
DES4@30	2F90E885	Bro, lu bener-bener gila bangsat.
