# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



MCES11A	6507C29C	Eh Cesar!
MCES11B	FC0E9326	Woy, kawan (*dude*), ada apa?
MCES11C	8B09A3B0	Aku butuh kamu menemuiku di Dermaga 69.
MCES11D	156D3613	Kita bakal memberantas Sindikat Loco (*Loco Syndicate*).
MCES11E	626A0685	Oke, kawan (*holmes*). Kamu butuh bala bantuan?
MCES11F	FB63573F	Nggak usah, bro, udah kuurus semuanya!
SYN4_02	B3D40DB4	~r~Jizzy~s~ kabur membawa ponselnya, kejar dia!
SYN4_04	5AB7A881	~s~Menyusup ke dekat ~y~Jizzy~s~ secara diam-diam, kamu harus mendapatkan nomor itu.
SYN4_05	2DB09817	~r~Jizzy~s~ kabur, kejar dia!
SYN4_06	B4B9C9AD	~r~Kamu membunuh Jizzy sebelum dia sempat melakukan panggilan telepon.
SYN4_08	5301E4AA	~r~Kamu mengejutkan Jizzy sebelum dia sempat melakukan panggilan telepon.
SYN4_11	33C66D4F	Ponsel berhasil diambil!
SYN4_12	AACF3CF5	~s~Gunakan ~y~kaca atap (skylight)~s~ untuk masuk ke dalam klub!
SYN4_17	DAA5C87A	~r~Kamu ketahuan.
SYN4_18	4A1AD5EB	Penjaga sudah membunyikan alarm, berhati-hatilah!
SYN4_20	6FEC0E1A	~s~Pergi temui Jizzy di ~y~klub Pleasure Domes~s~!
SYN4_29	1630B6BE	~r~Kamu membiarkan Jizzy kabur membawa ponselnya.
SYN4_32	98F95E77	~r~Kamu meledakkan ponselnya.
SYN4_33	EFFE6EE1	~s~Sekarang ambil ~g~ponsel~s~ itu.
SYN4_99	F5C46F75	~s~Menyusup mendekati ~y~Jizzy~s~, kamu harus mendapatkan nomor itu.
SYN4_AA	4CFC6585	Woy, kukira kita berteman!
SYN4_AB	D5F5343F	Kamu menyia-nyiakan kesempatanmu buat jadi kawan sejati (*playa*)!
SYN4_AC	A2F204A9	Kita bisa membicarakan ini, kawan!
SYN4_AD	3C96910A	Kamu merusak kendaraanku!
SYN4_AE	4B91A19C	CJ, saudara, kamu harus memikirkan ulang posisimu!
SYN4_AF	D298F026	Aku bisa membereskan apa saja buatmu di kota ini, apa saja!
SYN4_AG	A59FC0B0	CJ, kamu benar-benar bego, BEGO!
SYN4_AH	3520DD21	Aku nggak bakal melupakan ini, CJ, kamu dengar aku?
SYN4_AJ	DB2EBC0D	Kamu tahu nggak berapa biaya cat mobil ini?
SYN4_AK	AC298C9B	Mundur, bego!
SYN4_AL	324D1938	Aku punya banyak uang — selalu!
SYN4_BA	67D13646	Sori, bro, ada acara pribadi.
SYN4_BB	FED867FC	Jizzy tidak ingin diganggu.
SYN4_BC	89DF576A	Kamu nggak bisa masuk!
SYN4A00	4B62E2E2	Sial, di mana aku meletakkannya?
SYN4A01	3C65D274	Di mana letaknya sih? Sialan!
SYN4A02	A56C83CE	Woy kawan (*holmes*), kamu tidak apa-apa?
SYN4A03	D26BB358	Ya. Woozie meninggalkan pesan,
SYN4A04	4C0F26FB	katanya aku harus pergi mengambil ponsel Jizzy setelah dia selesai menelepon.
SYN4A05	3B08166D	Baru setelah itu aku bisa menyergap pertemuan mereka
SYN4A06	A20147D7	dan memberantas para pengedar Ballas dari Los Santos itu.
SYN4A07	D5067741	Woy, kawan, mau aku temani ikut?
SYN4A08	45B96AD0	Nggak, ini kerjaan buat satu orang saja.
SYN4A09	32BE5A46	Aku harus bergerak sangat diam-diam,
