# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	D95F48E9	Buat melihat sekeliling di atas motor gunakan kontrol kamera. Buat menembak pencet ~m~~widget_attack~.
DGS1_1	A0CBFC35	~s~Antar Big Smoke ~s~ke ~y~Pusat Kota (Downtown)~s~.
DGS1_2	39C2AD8F	Kalo musuh lagi berlindung, mungkin bakal lebih bagus nggunain bidikan manual pas menembak.
DGS1_3	4EC59D19	~r~Lu ninggalin Smoke sendirian terus dia tewas! Lain kali menempel lebih dekat!
DGS1_56	FDC55F42	~s~Masuk ke dalam terus lindungi ~b~Big Smoke~s~!
DGS1_57	8AC26FD4	~s~Masuk balik ke dalam ~b~mobil!
DGS1_58	1A7D7245	Smoke
DGS1_59	6D7A42D3	Motor
DGS1_60	3F8BA9B4	~r~Smoke tewas!
DGS1_63	A682F80E	Menembak sambil berjongkok ngebikin akurasi tembakan lu makin bagus.
DGS1_64	38E66DAD	Buat melihat sekeliling di atas motor geser jari lu melintasi layar. Buat menembak ketuk ~m~~widget_attack~.
SMO4_AA	E9DB0CB8	Ini mending bukan urusan suruhan polisi lagi ya, bro.
SMO4_AB	70D25D02	Kagak lah, bro, ini murni khusus buat kawan-kawan geng kita.
SMO4_AC	07D56D94	Gue harus jujur sama lu, CJ. Masalah kita ini bisa jadi urusan yang parah banget, sayang.
SMO4_AD	99B1F837	Urusan apaan yang lagi lu jalanin, Smoke?
SMO4_AE	EEB6C8A1	Banyak hal parah yang bakal kejadian, Carl.
SMO4_AF	77BF991B	Families mulai bersatu balik, Ballas mulai ngedarin kokain,
SMO4_AG	00B8A98D	orang-orang Rusia yang kagak takut mati siap-siap buat membantai.
SMO4_AH	9007B41C	Orang Rusia?
SMO4_AJ	7E09D530	Yoi, yoi, lu pikirin aja sendiri.
SMO4_AK	090EE5A6	Sepanjang hidup gue, gue selalu disuruh takut sama orang Rusia, tapi gue sendiri kagak pernah ketemu satu pun.
SMO4_AL	976A7005	Terus tembok Berlin runtuh sama kita semua disuruh berteman.
SMO4_AM	E06D4093	Lima menit kemudian, sepupu gue dihajar tepar sama orang Rusia yang baru turun dari kapal.
SMO4_AN	79641129	Beneran?
SMO4_AO	0E6321BF	Beneran lah!
SMO4_BA	C2F65F7B	Liat nih Carl, sebelum gue masuk ke dalam sana, gue cuma butuh tahu kalo lu siap membela di masalah ini, bro.
SMO4_BB	5BFF0EC1	Liat nih, Smoke, kita udah kenal lama banget. Kita ini anak Grove, bro!
SMO4_BC	2CF83E57	Nah itu baru kawan gue, itu baru kawan sejati gue!
SMO4_BD	B29CABF4	Woy liat nih, kalo lu denger baku tembak mulai meletup, masuk ke dalam sambil menembak membabi buta, oke?
SMO4_BE	C59B9B62	Gue siap, bro.
SMO4_BF	5C92CAD8	Woy, sayang, mau ditemenin kagak?
SMO4_BG	2B95FA4E	Para keparat bangsat!
SMO4_BH	BB2AE7DF	CJ, MASUK KE SINI!
SMO4_BJ	552486F3	Nah itu baru kawan sejati gue!
SMO4_BK	2223B665	Ngapain aja lu dari tadi lama banget?
SMO4_BL	BC4723C6	CJ, masuk ke sini - oh itu lu!
SMO4_BM	CB401350	Merunduk terus, asap peluru tebel banget di dalam sini.
SMO4_BN	524942EA	Hati-hati, CJ, kayaknya mereka emosi banget!
SMO4_BO	254E727C	Manfaatin tempat perlindungan, mereka menembak kek orang gila di dalam tempat bangsat ini!
SMO4_BP	A8467F89	CJ, ambil posisi kanan terus lindungi bokong gue!
SMO4_BQ	DF414F1F	Tetep di sebelah kanan gue, CJ, gue lagi mengincar tuh keparat.
SMO4_BR	46481EA5	Lindungi posisi kanan gue, CJ, bantai para bego keparat itu!
SMO4_CA	DBED6E3A	Bantai keparat shahkto itu!
SMO4_CB	42E43F80	Bantai orang-orang Amerika itu!
SMO4_CC	35E30F16	Bantai orang Amerikos itu!
SMO4_CD	AB879AB5	Bantai keparat shahkto itu!
SMO4_CE	DC80AA23	Bantai orang-orang Amerika itu!
SMO4_CF	4589FB99	Bantai orang Amerikos itu!
SMO4_DA	94ACF8FD	Big Smoke, lu udah bikin kesalahan besar!
SMO4_DB	0DA5A947	Harusnya lu kagak datang ke sini, Big Smoke!
SMO4_DC	7AA299D1	Smoke, lu sama temen lu udah tewas!
SMO4_DE	93C13CE4	Big Smoke, lu udah bikin kesalahan besar, hah!
SMO4_DF	0AC86D5E	Harusnya lu kagak datang ke sini, Big Smoke!
SMO4_DG	7DCF5DC8	Smoke, lu sama temen lu udah tewas!
SMO4_DH	ED704059	Oke, kita tunjukin ke para bego itu!
SMO4_DJ	037E2175	Tempel terus sama gue CJ, kita keluar dari sini, sayang!
SMO4_EA	8DB7C9BC	Tetep dekat, CJ!
SMO4_EB	14BE9806	Menempel dekat banget, Carl!
SMO4_EC	63B9A890	CJ, tetep bareng gue, bro!
SMO4_ED	FDDD3D33	Bantu lindungi gue!
SMO4_EE	8ADA0DA5	Ikutin terus, sayang!
SMO4_EF	13D35C1F	Nah itu baru kawan gue, CJ!
SMO4_EG	64D46C89	Pertahanin terus, sayang!
SMO4_EH	F46B7118	Ha, ha ha ha, bro, lu bener-bener dingin kek es, sayang!
SMO4_EJ	1A651034	Nah itu baru kawan sejati gue, bikin mereka semua membayar!
SMO4_EK	6D6220A2	Bantai para bego itu sampai kaku, CJ!
SMO4_EL	F306B501	Tembak hancur otak bangsat mereka, CJ!
SMO4_EM	84018597	Bikin tubuh para bego itu penuh lubang peluru, sayang!
SMO4_EN	1D08D42D	Naik ke pembonceng belakang, CJ!
SMO4_EO	6A0FE4BB	Waktunya membalas budi sayang, naik!
SMO4_EP	E707E94E	Kali ini biar gue yang nyetir, naik ke pembonceng belakang!
SMO4_EQ	9000D9D8	Kali ini lu yang jadi penembak belakang, CJ!
SMO4_ER	09098862	Awasi posisi belakang kita!
SMO4_ES	7E0EB8F4	Bantai keparat mana pun yang mengikutin kita!
SMO4_FA	A69A9A7F	Woy bro, ada motor-motor nempel ke kita semua!
SMO4_FB	3F93CBC5	Mereka mengejar kita naik motor, Smoke!
SMO4_FC	4894FB53	Ada motor di posisi belakang kita - tabrak hancur Smoke!
