# Do not change the format of file
# File created by X GXT Editor
# http://www.x-squares.com/File/fi/0/X-GXT-Editor.aspx



	949B79D5	Buat ngeliat ke sekeliling mobil pake kontrol gerakan kamera. Buat nembak pencet ~m~~widget_attack~.
FIN1_AA	4D122445	Ini Kepolisian Los Santos (LSPD); Tetap berada di posisi kalian!
FIN1_AB	D41B75FF	Tetap berada di posisi kalian!
FIN1_AC	A31C4569	Jangan bergerak atau kami buka tembakan!
FIN1_AD	3D78D0CA	Maju! Maju! Maju!
FIN1_AE	4A7FE05C	Mengambil posisi!
FIN1_AF	D376B1E6	Mundur!
FIN1_AG	A4718170	Posisi bertahan!
FIN1_AH	34CE9CE1	Tunggu tim bantuan!
FIN1_AI	43C9AC77	Anak-anak gengster bangsat ini!
FIN1_AJ	DAC0FDCD	Bantai para kelinci kumuh (*ghetto bunnies*) ini!
FIN1_AK	ADC7CD5B	Kita bakal ngentot/mbantai mayat dingin kalian!
FIN1_AL	33A358F8	Bantai dia!
FIN1_AM	44A4686E	Lumpuhkan target (*tango*) itu!
FIN1_AN	DDAD39D4	Robohkan orang itu!
FIN1_AO	AAAA0942	Target (*tango*) jatuh!
FIN1_AP	27A204B7	Tewas satu keparat!
FIN1_AQ	50A53421	Satu lagi masuk kantong mayat!
FIN1_AR	C9AC659B	Dobrak pintu itu!
FIN1_AS	BEAB550D	Maju Maju Maju!
FIN1_AT	20CFC0AE	Kiri aman!
FIN1_AU	57C8F038	Target (*tango*) di sebelah kanan!
FIN1_AV	CEC1A182	Kanan aman!
FIN1_AX	29798C85	Target (*tango*) di sebelah kiri!
FIN1_AY	5E7EBC13	Ruangan aman!
FIN1_AZ	C777EDA9	Aman!
FIN1_BA	663F7786	Tembak hancur kuncinya!
FIN1_BB	FF36263C	Di mana shotgun itu?
FIN1_BC	883116AA	Gue kena tembak, lindungin gue!
FIN1_BD	16558309	Kasih tembakan penekan (*suppressing fire*) di dalam sana!
FIN1_BE	6152B39F	Kasih gue tembakan perlindungan bangsat!
FIN1_BF	F85BE225	Bawa tameng-tameng bangsat itu ke dalam sini!
FIN1_BG	8F5CD2B3	Di mana tameng-tameng itu?
FIN1_BH	1FE3CF22	Diem lu terus masuk!
FIN1_BI	68E4FFB4	Awasin kepala lu.
FIN1_BJ	F1EDAE0E	Tatap kebebasan kalian buat terakhir kalinya, bocah-bocah!
FIN1_BK	86EA9E98	Kejutan, bro (*homeboy*)!
FIN1_BL	188E0B3B	Awas kepala, bro!
FIN1_BM	6F893BAD	Lu kagak bisa ngumpet selamanya!
FIN1_BN	F6806A17	Mending lu keluar aja!
FIN1_BO	81875A81	Buzzard 1, sorot cahaya ke atap gedung!
FIN1_BP	0C8F5774	Buzzard 1, ada target (*tango*) di atap gedung!
FIN1_BQ	7B8867E2	Kita punya target di atap gedung, di mana helikopter itu?
FIN1_BR	E2813658	Diterima (*roger*), gue dapet mereka!
FIN1_BS	958606CE	Siap dipahami (*wilco*), ketua tim, target terlihat di pandangan!
FIN1_BT	0BE2936D	Ini Buzzard 1, mata gue udah ngunci mereka!
FIN1_BU	7CE5A3FB	Bantai target-target (*tango*) ini!
FIN1_BV	E5ECF241	Sorot cahaya ke bawah sana!
FIN1_BW	92EBC2D7	Sialan!
FIN1_BX	0254DF46	Kita kehilangan lampu sorot!
FIN1_BY	7553EFD0	Ini Buzzard 1, kita kena tembakan dari darat!
FIN1_BZ	EC5ABE6A	Turunin Tim Charlie di atas atap, sekarang!
FIN1_CA	7F2446C7	Kita kudu nurunin Tim Charlie di bawah sana!
FIN1_CB	E62D177D	Empat gengster di dalam mobil biru 4-pintu menuju balik ke South Central.
FIN1_CC	912A27EB	Hadang dia!
FIN1_CD	0F4EB248	Pepet mobilnya!
FIN1_CE	784982DE	Maju ke depan mobilnya!
FIN1_CF	E140D364	Kita jebak mereka kek ikan di dalam bak mandi!
FIN1_CG	9647E3F2	Hantam mobil itu pake semua yang lu punya!
FIN1_CH	06F8FE63	Bantai/brondong para keparat itu!
FIN1_CI	71FFCEF5	Semua unit gaskan (*Rock'n'roll*)!
FIN1_CJ	E8F69F4F	Astaga tahi! Unit Echo tumbang!
FIN1_CK	9FF1AFD9	Unit tumbang, diulang, unit tumbang!
FIN1_CL	01953A7A	Mayday, mayday! Helikopter Buzzard 1 mau jatuh!
FIN1_CM	76920AEC	Ini Buzzard 1, kita mendarat darurat!
FIN1_CN	EF9B5B56	Buzzard 1 pamit dari pesta, dadah, bocah-bocah!
FIN1_CO	989C6BC0	Mobil biru 4-pintu di East Los Santos menuju ke Ganton!
FIN1_DA	3065D000	Lu udah nyelamatin gue, nih rasain kehangatan gue!
FIN1_DB	A96C81BA	Pahlawan gue berhak dapet belaian manis gue!
FIN1_DC	DE6BB12C	Oh sayang, lu terluka!
FIN1_EA	297EE141	Ini Kepolisian LSPD jangan, WOY! APA-APAAN BANGSAT? TERLALU RENDAH, LU BAKAL NGEBUNUH KITA SEMUA!
FIN1_EB	B077B0FB	LSPD, berhenti di tempat, LU GILA YA, LU BAKAL NGEBUNUH KITA SEMUA!
FIN1_FA	0253B282	Apa-apaan nih ast-AAAARGGH!
FIN1_FB	9B5AE338	TUHAN JANGAN, AAIIEEEGHH!
FIN1_FC	EC5DD3AE	OH KRISTUS, AARRGGHH!
FIN1_FD	7239460D	Woo-Woo-WOO-AAIIEEGGH!
FIN1_GA	1B4883C3	Omong-omong, CJ, lu mau nabrakin mobilnya lagi kagak nih?
FIN1_GB	8241D279	Ngentot lu, Ryder.
FIN1_GC	F546E2EF	Ryder, kasih jeda buat CJ kenapa, bro. Dia praktis udah membangkitkan Grove balik sendirian.
FIN1_GD	6B22774C	Bro, gue kan cuma bercanda doang sama si bocah kecil ini.
FIN1_GE	1C2547DA	Semua hal yang lu lakuin itu lelucon, Ryder.
FIN1_GF	852C1660	Bener banget, itu baru adik gue!
FIN1_GG	F22B26F6	Kagak bener tuh!
FIN1_GH	62943B67	Kasih tau mereka, Smoke - dukung gue! Itu kagak bener!
FIN1_GI	15930BF1	Ryder... santai aja kenapa bangsat!
FIN1_GJ	8C9A5A4B	Inget, kita mau menyatukan lagi kubu Families, jadi kagak ada omong kosong.
FIN1_GK	FB9D6ADD	Tetep santai.
FIN1_GL	65F9FF7E	Lu tau gue lah, Sweet, santai kek biksu Shaolin!
FIN1_GM	12FECFE8	Terutama lu, Ryder.
FIN1_GN	8BF79E52	Maksud lu apaan? Gue tersinggung sama sindiran lu bangsat.
FIN1_GO	FCF0AEC4	Sweet cuma mau bilang lu itu pembunuh alami, sayang.
FIN1_GP	71F8A331	Lu harus kontrol diri lu terus tetep santai.
FIN1_GQ	06FF93A7	Yoi, anggap aja kek gini - gue paham apa yang coba dia omongin,
FIN1_GR	9FF6C21D	tapi gue selalu santai, bego!
FIN1_GS	E8F1F28B	Woy kita semua setuju soal itu, sayang.
FIN1_GT	76956728	Oke, kita udah hampir nyampe. Kalian semua santai?
FIN1_GU	019257BE	Kawan-kawan semua santai?
FIN1_GV	989B0604	Santai banget, sayang.
FIN1_GW	EF9C3692	Pasti lah, bro.
FIN1_HA	9CD09F0C	Oke, syaratnya cuma satu perwakilan tiap kubu geng - kalian harus nunggu di sini.
FIN1_HB	05D9CEB6	Kita nunggu di sini jaga-jaga aja, bro.
